ID,Father,Mother
Malna,Egyed,Felho
Merges,Egyed,Flora
Mester,Egyed,Klara
Mozsar,Apor,Derce
Mgavora,Prinz,Gavora
Vinter,Lot,Nadine
Nemes,Fergeteg,Dicso
Narancs,Fsoos,Jegenye
Nimrod,Deli,Harmat
Noci,Duhaj,Kecses
Narcisz,Geza,Jazmin
Nefelejcs,Fsoos,Imola
Nilus,Fsoos,Ibolya
Nora,Duhaj,Csenge
Nkankalin,Fergeteg,Kankalin
Nike,Bendeguz,Epona
Nero,Felix,Helena
Nomad,Farkas,Kisasszony
Nkati,Fako,Kati
Nunuke,Deli,Jenke
Neger,Felix,Kala
Nozi,Csongor,Fanny
Napsugar,Csongor,Himes
Nobel,Fako,Honorka
Nimfa,Deli,Gerle
Nigezo,Deli,Igezo
Niringo,Fsoos,Iringo
Napolyi,Fergeteg,Joghurt
Nagya,Fako,Iszalag
Nina,Deli,Dorka
Neper,Fsoos,Eper
Nelli,Apor,Sjilka
Negro,Fsoos,Dalma
Nadaly,Felix,Kokeny
Njacint,Deli,Jacint
Noemi,Gaspar,Emo
Notas,Gyula,Illego
Nadszal,Csongor,Gizella
Nemese,Duhaj,Emese
Nabucco,Fako,Katica
Nevada,Csongor,Zora
Nektar,Csongor,Galagonya
Nemo,Fsoos,Helka
Nhanga,Ecser,Hanga
Nutella,Gaspar,Arka
Nokedli,Fako,Juhar
Napraforgo,Csongor,Flora
Naomi,Fako,Ashnai
Nabob,Apor,Derce
Orkan,Fergeteg,Greta
Orgona,Csongor,Hargita
Opal,Felix,Lohere
Oda,Fergeteg,Dicso
Olimpia,Fulop,Epona
Othello,Gaspar,Emo
Orpheus,Felix,Helena
Oposszum,Fulop,Liliom
Odon,Fergeteg,Kankalin
Ohat,Felix,Kokeny
Olga,Fsoos,Ibolya
Oszton,Csongor,Himes
Opera,Fsoos,Iringo
Okoska,Fako,Honorka
Ozirisz,Fako,Iszalag
Orix,Csongor,Gizella
Olivia,Bendeguz,Caroline
Okker,Apor,Sjilka
Ozike,Fsoos,Jegenye
Olle,Csongor,Zora
Ohaj,Geza,Kisasszony
Origo,Fsoos,Helka
Odera,Ekes,Hanga
Oszi,Gaspar,Klara
Orhidea,Geza,Jazmin
Ozon,Felix,Lengo
Omlett,Fsoos,Eper
Ofelia,Ekes,Gerle
Ozman,Felix,Kincso
Oemy,Bendeguz,Emy
Ohara,Huba,Leka
Ojoghurt,Fergeteg,Joghurt
Oazis,Huba,Illego
Ostor,Gaspar,Jacint
Odorka,Ekes,Dorka
Oimola,Fsoos,Imola
Oigezo,Ekes,Igezo
Olilla,Ekes,Lilla
Onedin,Fako,Kati
Orbit,Gabris,Lenke
Oxigen,Fsoos,Hovirag
Oszkar,Fako,Juhar
Ogalagonya,Csongor,Galagonya
Ofelho,Gaspar,Felho
Olevendula,Bendeguz,Levendula
Oroszlan,Gaspar,Arka
Orion,Fako,Ashnai
Omega,Fergeteg,Jenke
Odett,Csongor,Fanny
Olili,Deli,Lili
Oxer,Deli,Emy
Orastes,Fako,Kira
Omnia,Irha,Lepke
Orci,Horka,Luca
Ocean,Irha,Lidia
Paratlan,Fsoos,Dalma
Parazs,Heteny,Emese
Pgalagonya,Heteny,Galagonya
Piringo,Fsoos,Iringo
Pmelissza,Huba,Melissza
Pacsirta,Fergeteg,Kankalin
Pipacs,Fsoos,Eper
Pinka,Fergeteg,Dicso
Pafrany,Gaspar,Felho
Pandur,Inas,Derce
Papaya,Geza,Kisasszony
Parizs,Prinz,Zora
Parduc,Fergeteg,Greta
Psjilka,Apor,Sjilka
Pgizella,Farkas,Gizella
Pehely,Farkas,Lelle
Pajzsika,Gaspar,Klara
Primula,Fako,Honorka
Pflora,Farkas,Flora
Parej,Fako,Kati
Panka,Farkas,Mazsola
Pirkadat,Horka,Illego
Peremizs,Igar,Hanga
Piro,Heteny,Mule
Padlizsan,Huba,Kala
Pacsuli,Geza,Juhar
Poros,Farkas,Fanny
Pompas,Huba,Helena
Parka,Gaspar,Arka
Piroska,Fako,Imola
Pgerle,Igar,Gerle
Pele,Heteny,Lengo
Pegazus,Fulop,Epona
Partizan,Fako,Iszalag
Paprika,Gabris,Lenke
Pluto,Fergeteg,Joghurt
Panda,Fsoos,Helka
Patricia,Gabris,Hargita
Pan,Fulop,Kicsi
Palma,Gaspar,Emo
Pemzli,Inas,Himes
Provence,Fsoos,Jegenye
Pasa,Gabris,Meses
Pitypang,Irha,Leka
Pompej,Heteny,Csenge
Pata,Igar,Igezo
Patak,Geza,Jazmin
Pumukli,Fsoos,Ibolya
Pinty,Irha,Mentha
Parnasszus,Huba,Mirella
Poeta,Fergeteg,Kecses
Polgar,Huba,Kincso
Puma,Igar,Kikerics
Remeny,Horka,Jenke
Rita,Farkas,Lelle
Rebeka,Horka,Luca
Rezeda,Fulop,Liliom
Ruby,Gaspar,Emo
